File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\xampp\htdocs\uscsportsportal\system\database\DB_driver.php,1909,835,444,174,259,14,815,3233,0,0
D:\xampp\htdocs\uscsportsportal\system\database\DB_forge.php,1031,546,269,111,144,0,341,1143,0,0
D:\xampp\htdocs\uscsportsportal\system\database\DB_query_builder.php,2749,1289,689,250,393,3,1067,3819,0,0
D:\xampp\htdocs\uscsportsportal\system\database\DB_result.php,667,284,153,76,92,0,291,1054,0,0
D:\xampp\htdocs\uscsportsportal\system\database\DB_utility.php,424,215,114,45,57,3,152,674,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\cubrid\cubrid_driver.php,420,159,84,40,61,0,200,727,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\cubrid\cubrid_forge.php,228,100,48,14,25,0,103,427,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\cubrid\cubrid_result.php,178,52,27,10,20,0,106,456,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\cubrid\cubrid_utility.php,80,16,8,4,6,0,58,326,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\ibase\ibase_driver.php,405,145,63,31,53,0,207,771,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\ibase\ibase_forge.php,252,105,51,17,29,0,118,469,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\ibase\ibase_result.php,162,53,31,9,20,0,89,400,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\ibase\ibase_utility.php,70,14,8,3,6,0,50,297,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mssql\mssql_driver.php,542,210,112,51,77,1,255,1007,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mssql\mssql_forge.php,147,47,24,6,14,0,86,391,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mssql\mssql_result.php,199,67,37,13,24,0,108,463,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mssql\mssql_utility.php,78,10,6,1,6,1,62,328,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mysql\mysql_driver.php,494,181,98,47,73,1,240,904,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mysql\mysql_forge.php,244,118,50,19,30,0,96,416,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mysql\mysql_result.php,200,62,34,11,23,0,115,481,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mysql\mysql_utility.php,212,93,55,13,32,1,87,478,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mysqli\mysqli_driver.php,528,223,118,57,74,1,231,874,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mysqli\mysqli_forge.php,245,118,50,19,29,0,98,422,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mysqli\mysqli_result.php,187,59,33,11,20,0,108,463,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\mysqli\mysqli_utility.php,214,93,55,13,32,1,89,484,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\oci8\oci8_driver.php,704,297,162,62,92,3,315,1228,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\oci8\oci8_forge.php,150,52,27,8,16,0,82,385,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\oci8\oci8_result.php,230,82,50,13,30,0,118,461,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\oci8\oci8_utility.php,69,9,5,1,5,1,55,310,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\odbc\odbc_driver.php,375,109,60,25,50,0,216,778,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\odbc\odbc_forge.php,87,10,6,0,8,0,69,344,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\odbc\odbc_result.php,269,117,65,26,32,0,120,496,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\odbc\odbc_utility.php,64,8,4,1,4,0,52,302,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\pdo_driver.php,397,164,88,31,53,0,180,722,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\pdo_forge.php,66,6,4,0,5,0,55,309,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\pdo_result.php,199,78,42,17,22,0,99,432,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\pdo_utility.php,64,8,4,1,4,0,52,302,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_4d_driver.php,201,55,31,8,23,0,123,523,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_4d_forge.php,218,75,38,8,22,0,121,476,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_cubrid_driver.php,251,88,49,15,33,0,130,560,0,0
D:\xampp\htdocs\uscsportsportal\system\database\drivers\pdo\subdrivers\pdo_cubrid_forge.php,228,100,48,14,25,0,103,429,0,0
